name,longitude,latitude
Abbey Road,0.003723,51.531952
Abbey Wood,0.120272,51.490784
Acton Central,-0.26343,51.508758
Acton Main Line,-0.26769,51.516887
Acton Town,-0.280303,51.503071
Addington Village,-0.032665,51.356239
Addiscombe,-0.073213,51.379808
Albany Park,0.126445,51.435816
Aldgate,-0.075627,51.514342
Aldgate East,-0.073001,51.515082
Alexandra Palace,-0.120149,51.598263
All Saints,-0.012625,51.510477
Alperton,-0.299516,51.541209
Amersham,-0.606514,51.674129
Ampere Way,-0.123637,51.382299
Anerley,-0.065137,51.412517
Angel,-0.105581,51.532968
Angel Road,-0.048733,51.61242
Archway,-0.135122,51.565491
Arena,-0.058319,51.391523
Arnos Grove,-0.13427,51.61623
Arsenal,-0.1055,51.558541
Avenue Road,-0.049447,51.406798
Baker Street,-0.156904,51.52313
Balham,-0.152685,51.443183
Bank,-0.089,51.513347
Banstead,-0.213132,51.329293
Barbican,-0.097722,51.520215
Barking,0.080832,51.539521
Barkingside,0.088477,51.585851
Barnehurst,0.160948,51.46478
Barnes,-0.242033,51.467128
Barnes Bridge,-0.252363,51.472228
Barons Court,-0.21343,51.490229
Battersea Park,-0.148124,51.477318
Bayswater,-0.187902,51.512111
Beckenham Hill,-0.016496,51.424626
Beckenham Junction,-0.025702,51.410942
Beckenham Road,-0.043392,51.40953
Beckton,0.061525,51.514377
Beckton Park,0.054822,51.508901
Becontree,0.12688,51.539585
Beddington Lane,-0.142138,51.38924
Belgrave Walk,-0.178496,51.400962
Bellingham,-0.020412,51.433865
Belmont,-0.199489,51.34412
Belsize Park,-0.163974,51.550191
Belvedere,0.152034,51.491959
Bermondsey,-0.06433,51.497961
Berrylands,-0.280321,51.398768
Bethnal Green,-0.055392,51.527192
Bethnal Green Rail,-0.060014,51.524283
Bexley,0.148204,51.440815
Bexleyheath,0.133363,51.46355
Bickley,0.044304,51.40038
Birkbeck,-0.056286,51.403863
Blackfriars,-0.102995,51.511587
Blackheath,0.008337,51.465408
Blackhorse Lane,-0.070534,51.384746
Blackhorse Road,-0.039626,51.585777
Blackwall,-0.007235,51.507832
Bond Street,-0.149614,51.513798
Borough,-0.094197,51.501049
Boston Manor,-0.324747,51.495766
Bounds Green,-0.124177,51.607032
Bow Church,-0.0205,51.527615
Bow Road,-0.02436,51.527042
Bowes Park,-0.119792,51.60725
Brent Cross,-0.213336,51.576599
Brentford,-0.309623,51.487536
Brentwood,0.299673,51.61361
Brimsdown,-0.031092,51.655245
Brixton,-0.114552,51.462737
Brockley,-0.037748,51.46475
Bromley North,0.017235,51.408942
Bromley South,0.01736,51.400001
Bromley-by-Bow,-0.011682,51.52484
Brondesbury,-0.202838,51.545262
Brondesbury Park,-0.210474,51.540325
Broxbourne,-0.011024,51.747016
Bruce Grove,-0.070399,51.594011
Buckhurst Hill,0.046713,51.626577
Burnt Oak,-0.264331,51.602552
Bush Hill Park,-0.06928,51.641482
Bushey,-0.384722,51.645544
Caledonian Road,-0.118361,51.547885
Caledonian Road and Barnsbury,-0.115205,51.543285
Cambridge Heath,-0.057203,51.53206
Camden Road,-0.139203,51.541851
Camden Town,-0.142452,51.539969
Canada Water,-0.050807,51.498168
Canary Wharf,-0.019467,51.503578
Canning Town,0.008306,51.51387
Cannon Street,-0.090251,51.511362
Canonbury,-0.092574,51.548188
Canons Park,-0.294392,51.607651
Carpenders Park,-0.385829,51.628187
Carshalton,-0.166398,51.368426
Carshalton Beeches,-0.169496,51.357387
Castle Bar Park,-0.331504,51.522974
Caterham,-0.078607,51.282163
Catford,-0.026538,51.444265
Catford Bridge,-0.024822,51.444695
Centrale,-0.103888,51.375767
